r,deviance,nu,JIC,time_s
0,-4706.5428634210375,0.15679945611142293,-4706.3860639649265,1.1474695419892669
2,-4706.826184169212,0.26133242685237157,-4706.56485174236,1.6728842500597239
4,-4709.342977907769,0.3658653975933202,-4708.977112510175,1.939346541883424
6,-4709.4441761005755,0.4703983683342688,-4708.973777732242,2.216327999951318
8,-4709.546130417604,0.5749313390752174,-4708.971199078529,2.502206499921158
10,-4709.848043372993,0.6794643098161661,-4709.168579063176,2.9958043340593576
12,-4710.085104293852,0.7839972805571147,-4709.301107013295,3.359842082951218
14,-4709.979261469333,0.8885302512980633,-4709.090731218035,11.46420054207556
