r,deviance,nu,JIC
0,-1.5934989277416498,0.039657757359416526,-1.5538411703822332
1,-1.674890067685708,0.04032992273838968,-1.6345601449473182
2,-1.6832852476710503,0.04100208811736285,-1.6422831595536873
3,-1.692585705150745,0.04167425349633601,-1.650911451654409
5,-1.7023117761799766,0.04301858425428233,-1.6592931919256944
8,-1.7127713421052229,0.04503508039120181,-1.667736261714021
