r,deviance,nu,JIC,time_s
0,-3.5683935004790577,0.2914337440650414,-3.2769597564140165,20.220169875072315
5,-3.6868800775190835,0.2986833396885499,-3.3881967378305338,106.19266662513837
10,-3.6977723716212356,0.3059329353120584,-3.3918394363091773,108.4410147080198
15,-3.7037223292723,0.31318253093556686,-3.390539798336733,137.35198208410293
20,-3.7085134432780684,0.3204321265590754,-3.388081316718993,144.08149116695859
25,-3.7125532455799157,0.32768172218258385,-3.384871523397332,181.2160519999452
30,-3.7161689350904075,0.33493131780609237,-3.3812376172843153,191.6033737079706
